nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,erro
9.0,9.0,9.0,-1.0,9.0,20122,1108090,Fundamentos de Física Moderna,111110090,A,0.0
9.0,10.0,9.0,-1.0,9.3,20122,1108090,Fundamentos de Física Moderna,110210560,A,0.0333333333333
9.0,9.0,9.0,-1.0,9.0,20122,1108090,Fundamentos de Física Moderna,109210050,A,0.0
9.0,10.0,10.0,-1.0,9.7,20122,1108090,Fundamentos de Física Moderna,112110953,A,0.0333333333333
8.0,9.0,9.0,-1.0,8.7,20122,1108090,Fundamentos de Física Moderna,111210117,A,0.0333333333333
10.0,10.0,9.5,-1.0,9.8,20122,1108090,Fundamentos de Física Moderna,112110103,A,0.0333333333333
10.0,10.0,9.5,-1.0,9.8,20122,1108090,Fundamentos de Física Moderna,111110895,A,0.0333333333333
9.0,9.0,9.0,-1.0,9.0,20122,1108090,Fundamentos de Física Moderna,111110911,A,0.0
9.0,9.0,9.0,-1.0,9.0,20122,1108090,Fundamentos de Física Moderna,111110898,A,0.0
9.0,10.0,10.0,-1.0,9.7,20122,1108090,Fundamentos de Física Moderna,111210120,A,0.0333333333333
7.5,8.5,9.5,-1.0,8.5,20112,1108090,Fundamentos de Física Moderna,110210110,A,0.0
6.3,9.5,9.2,-1.0,8.3,20112,1108090,Fundamentos de Física Moderna,110210397,A,0.0333333333333
6.3,9.0,9.0,-1.0,8.1,20112,1108090,Fundamentos de Física Moderna,109110111,A,0.0
7.5,6.9,9.0,-1.0,7.8,20112,1108090,Fundamentos de Física Moderna,110210094,A,0.0
6.5,5.0,9.4,-1.0,7.0,20112,1108090,Fundamentos de Física Moderna,111210953,A,0.0333333333333
10.0,8.0,6.5,-1.0,8.2,20112,1108090,Fundamentos de Física Moderna,109110057,A,0.0333333333333
6.3,6.7,8.4,-1.0,7.1,20112,1108090,Fundamentos de Física Moderna,111110139,A,0.0333333333333
6.2,9.5,9.0,-1.0,8.2,20112,1108090,Fundamentos de Física Moderna,109210422,A,0.0333333333333
6.2,9.0,8.5,-1.0,7.9,20112,1108090,Fundamentos de Física Moderna,110210102,A,8.881784197e-16
7.5,9.6,10.0,-1.0,9.0,20112,1108090,Fundamentos de Física Moderna,110110853,A,0.0333333333333
5.0,8.5,8.7,-1.0,7.4,20112,1108090,Fundamentos de Física Moderna,110110973,A,8.881784197e-16
6.3,8.2,9.5,-1.0,8.0,20112,1108090,Fundamentos de Física Moderna,110210128,A,0.0
8.1,9.1,8.8,-1.0,8.7,20112,1108090,Fundamentos de Física Moderna,110210082,A,0.0333333333333
6.3,9.7,8.8,-1.0,8.3,20112,1108090,Fundamentos de Física Moderna,110210083,A,0.0333333333333
6.5,9.7,8.5,-1.0,8.2,20112,1108090,Fundamentos de Física Moderna,110210088,A,0.0333333333333
6.2,8.5,8.0,-1.0,7.6,20112,1108090,Fundamentos de Física Moderna,110110057,A,0.0333333333333
7.5,10.0,7.5,-1.0,8.3,20112,1108090,Fundamentos de Física Moderna,110110052,A,0.0333333333333
6.0,8.0,9.0,-1.0,7.7,20112,1108090,Fundamentos de Física Moderna,110110053,A,0.0333333333333
7.5,9.1,9.0,-1.0,8.5,20112,1108090,Fundamentos de Física Moderna,110210052,A,0.0333333333333
7.5,8.3,9.2,-1.0,8.3,20112,1108090,Fundamentos de Física Moderna,110210079,A,0.0333333333333
10.0,5.5,8.5,-1.0,8.0,20112,1108090,Fundamentos de Física Moderna,110210075,A,0.0
6.3,6.2,9.2,-1.0,7.2,20112,1108090,Fundamentos de Física Moderna,110110091,A,0.0333333333333
6.3,9.7,8.6,-1.0,8.2,20112,1108090,Fundamentos de Física Moderna,110210526,A,1.7763568394e-15
9.5,9.5,9.5,-1.0,9.5,20121,1304025,BASQUETEBOL - FEM,110110045,A,0.0
9.5,9.5,9.5,-1.0,9.5,20121,1304025,BASQUETEBOL - FEM,110210045,A,0.0
9.0,9.0,9.0,-1.0,9.0,20121,1304025,BASQUETEBOL - FEM,111110122,A,0.0
9.0,9.0,9.0,-1.0,9.0,20122,1304025,BASQUETEBOL - FEM,111110091,A,0.0
8.5,8.5,8.5,-1.0,8.5,20122,1304025,BASQUETEBOL - FEM,111210057,A,0.0
5.5,-1.0,0.5,-1.0,2.0,20111,1109053,Cálculo Diferencial e Integral II,109110095,R,
3.5,7.0,3.0,6.0,5.1,20111,1109053,Cálculo Diferencial e Integral II,110210110,A,
0.0,6.0,2.5,-1.0,2.8,20111,1109053,Cálculo Diferencial e Integral II,110210114,R,
1.5,2.5,0.0,-1.0,1.3,20111,1109053,Cálculo Diferencial e Integral II,110210394,R,
