"disciplina" "matricula" "competencia"
"Algebra Vetorial e Geometria Analitica" "111210056" "20"
"Algebra Vetorial e Geometria Analitica" "111210062" "20"
"Algebra Vetorial e Geometria Analitica" "111210068" "60"
"Algebra Vetorial e Geometria Analitica" "111210080" "90"
"Algebra Vetorial e Geometria Analitica" "111210085" "90"
"Algebra Vetorial e Geometria Analitica" "111210096" "90"
"Algebra Vetorial e Geometria Analitica" "111210098" "60"
"Algebra Vetorial e Geometria Analitica" "111210102" "80"
"Algebra Vetorial e Geometria Analitica" "111210391" "30"
"Algebra Vetorial e Geometria Analitica" "111210398" "70"
"Algebra Vetorial e Geometria Analitica" "111210400" "10"
"Algebra Vetorial e Geometria Analitica" "111210403" "90"
"Algebra Vetorial e Geometria Analitica" "111210405" "60"
"Algebra Vetorial e Geometria Analitica" "111210407" "40"
"Algebra Vetorial e Geometria Analitica" "111210410" "40"
"Algebra Vetorial e Geometria Analitica" "111210411" "10"
"Algebra Vetorial e Geometria Analitica" "111210412" "60"
"Algebra Vetorial e Geometria Analitica" "111210413" "80"
"Algebra Vetorial e Geometria Analitica" "111210414" "30"
"Algebra Vetorial e Geometria Analitica" "111210415" "100"
"Algebra Vetorial e Geometria Analitica" "111210421" "50"
"Algebra Vetorial e Geometria Analitica" "111210422" "10"
"Algebra Vetorial e Geometria Analitica" "111210423" "30"
"Algebra Vetorial e Geometria Analitica" "111210426" "50"
"Algebra Vetorial e Geometria Analitica" "111210428" "70"
"Algebra Vetorial e Geometria Analitica" "111210433" "20"
"Algebra Vetorial e Geometria Analitica" "111210434" "70"
"Algebra Vetorial e Geometria Analitica" "111210438" "60"
"Algebra Vetorial e Geometria Analitica" "111210441" "90"
"Algebra Vetorial e Geometria Analitica" "111210442" "10"
"Algebra Vetorial e Geometria Analitica" "111210445" "10"
"Algebra Vetorial e Geometria Analitica" "111210446" "90"
"Algebra Vetorial e Geometria Analitica" "111210448" "40"
"Algebra Vetorial e Geometria Analitica" "111210451" "40"
