nota1,nota2,nota3:nota4,nota5,nota6,nota7,nota8,media,final,disciplina,departamento,matricula
9.5,7.2,4.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,sistemas operacionais,dme,106210158
7.0,8.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,tecc(economia de tecnologia da informaca,dme,106210158
5.5,5.5,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,4.3,analise e tecnica de algoritmos,dme,106210159
9.5,10.0,9.6,-1.0,-1.0,-1.0,-1.0,-1.0,9.7,-1.0,laboratorio de engenharia de software,dme,106210159
5.5,7.2,1.8,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,6.5,redes de computadores,dme,106210159
4.5,8.7,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,sistemas de informacaes geograficas,dme,106210159
8.5,6.0,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.6,7.0,sistemas operacionais,dme,106210159
8.9,8.0,6.0,5.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,aval.de desempenho de sistemas discretos,dme,106210162
6.1,7.5,8.4,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,-1.0,inteligencia artificial i,dme,106210162
3.0,8.6,9.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,interconex?o de redes de computadores,dme,106210162
3.0,8.6,9.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,lab.de intercon.de redes de computadores,dme,106210162
8.3,8.3,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,metodos e software numericos,dme,106210162
9.0,9.0,8.5,9.0,9.0,8.0,-1.0,-1.0,8.7,-1.0,projeto em computacao i,dme,106210162
9.0,9.5,9.5,9.0,9.0,8.6,-1.0,-1.0,9.1,-1.0,projeto em computacao ii,dme,106210162
5.0,7.2,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.1,-1.0,tecc(sistemas de recup da informacao),dme,106210162
7.7,7.0,7.0,4.5,-1.0,-1.0,-1.0,-1.0,5.7,4.5,aval.de desempenho de sistemas discretos,dme,106210165
9.1,7.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.4,-1.0,banco de dados i,dme,106210165
5.3,3.8,5.5,7.2,-1.0,-1.0,-1.0,-1.0,5.4,5.3,banco de dados ii,dme,106210165
6.8,6.6,0.9,-1.0,-1.0,-1.0,-1.0,-1.0,6.1,8.0,compiladores,dme,106210165
8.1,8.5,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,gerencia de redes de computadores,dme,106210165
7.7,10.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.9,-1.0,ingl?s,dme,106210165
6.5,6.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,inteligencia artificial i,dme,106210165
2.1,9.2,9.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,interconex?o de redes de computadores,dme,106210165
2.1,9.2,9.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,lab.de intercon.de redes de computadores,dme,106210165
7.5,5.0,6.0,6.5,-1.0,-1.0,-1.0,-1.0,6.6,7.0,metodos e software numericos,dme,106210165
8.0,8.0,8.5,8.5,8.0,8.5,-1.0,-1.0,8.3,-1.0,projeto em computacao i,dme,106210165
8.0,8.5,9.0,7.2,8.4,9.0,-1.0,-1.0,8.4,-1.0,projeto em computacao ii,dme,106210165
9.3,7.2,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,redes de computadores,dme,106210165
10.0,9.0,9.8,-1.0,-1.0,-1.0,-1.0,-1.0,9.6,-1.0,relacoes humanas,dme,106210165
6.5,8.5,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,sistemas de informacaes geograficas,dme,106210165
7.4,5.0,8.1,7.3,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,sistemas de informacao ii,dme,106210165
7.0,8.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,tecc(economia de tecnologia da informaca,dme,106210165
7.6,5.6,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,tecc(fund e aplic. de realidade virtual,dme,106210165
8.4,8.2,8.0,4.5,-1.0,-1.0,-1.0,-1.0,7.1,-1.0,aval.de desempenho de sistemas discretos,dme,106210166
7.7,5.2,9.1,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,-1.0,inteligencia artificial i,dme,106210166
10.0,9.0,5.8,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,interconex?o de redes de computadores,dme,106210166
10.0,9.0,5.8,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,lab.de intercon.de redes de computadores,dme,106210166
9.5,8.5,8.5,9.0,9.0,9.0,-1.0,-1.0,9.1,-1.0,projeto em computacao i,dme,106210166
9.0,5.7,9.0,9.0,8.9,8.9,-1.0,-1.0,9.1,-1.0,projeto em computacao ii,dme,106210166
7.5,9.6,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.7,-1.0,sistemas operacionais,dme,106210166
9.2,9.2,9.2,-1.0,-1.0,-1.0,-1.0,-1.0,9.2,-1.0,metodos e software numericos,dme,106210167
7.8,7.0,7.0,4.5,-1.0,-1.0,-1.0,-1.0,5.7,4.5,aval.de desempenho de sistemas discretos,dme,106210176
7.2,3.5,3.6,7.5,-1.0,-1.0,-1.0,-1.0,6.1,7.1,banco de dados ii,dme,106210176
8.3,7.1,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.8,7.9,compiladores,dme,106210176
6.0,8.3,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,inteligencia artificial i,dme,106210176
4.5,3.8,7.2,-1.0,-1.0,-1.0,-1.0,-1.0,5.2,5.2,laboratorio de engenharia de software,dme,106210176
7.5,5.0,6.0,4.5,-1.0,-1.0,-1.0,-1.0,6.2,6.8,metodos e software numericos,dme,106210176
3.5,3.5,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,6.0,metodos estatisticos,dme,106210176
9.0,8.5,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,projeto em computacao i,dme,106210176
8.5,8.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.4,-1.0,projeto em computacao ii,dme,106210176
8.0,4.2,8.5,7.3,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,sistemas de informacao ii,dme,106210176
7.5,5.3,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.7,5.5,sistemas operacionais,dme,106210176
7.0,8.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,tecc(economia de tecnologia da informaca,dme,106210176
7.8,7.4,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,tecc(fund e aplic. de realidade virtual,dme,106210176
8.5,7.7,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,tecc(modelagem de ambientes virtuais),dme,106210176
5.5,8.5,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,tecc(seguranca em redes de computadores),dme,106210176
8.0,8.7,6.0,8.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,aval.de desempenho de sistemas discretos,dme,106210596
9.0,9.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,projeto em computacao ii,dme,106210596
8.0,7.5,8.7,-1.0,-1.0,-1.0,-1.0,-1.0,8.1,-1.0,redes neurais,dme,106210596
4.0,8.2,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.7,5.8,sistemas de informacaes geograficas,dme,106210596
6.5,0.0,5.0,7.0,8.0,-1.0,-1.0,-1.0,6.4,8.0,tecc(economia de tecnologia da informaca,dme,106210596
10.0,10.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.7,-1.0,ingl?s,dme,106210598
3.3,10.0,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,interconex?o de redes de computadores,dme,106210598
3.3,10.0,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,lab.de intercon.de redes de computadores,dme,106210598
8.0,8.0,8.5,8.5,8.0,8.5,-1.0,-1.0,8.3,-1.0,projeto em computacao i,dme,106210598
8.0,8.5,9.0,7.2,8.4,9.0,-1.0,-1.0,8.4,-1.0,projeto em computacao ii,dme,106210598
10.0,5.0,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,8.5,redes de computadores,dme,106210598
9.1,8.3,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,8.7,-1.0,redes neurais,dme,106210598
7.0,8.2,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.1,-1.0,tecc(sistemas de recup da informacao),dme,106210598
6.6,7.3,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.1,-1.0,tecc(visao computacional),dme,106210598
7.6,9.4,9.1,-1.0,-1.0,-1.0,-1.0,-1.0,8.7,-1.0,inteligencia artificial i,dme,106210599
9.8,9.8,9.8,-1.0,-1.0,-1.0,-1.0,-1.0,9.8,-1.0,metodos e software numericos,dme,106210599
9.5,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.8,-1.0,direito e cidadania,dme,106210600
3.5,5.5,8.2,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,7.8,inteligencia artificial i,dme,106210600
8.9,8.9,8.9,-1.0,-1.0,-1.0,-1.0,-1.0,8.9,-1.0,metodos e software numericos,dme,106210600
9.0,5.5,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,projeto em computacao ii,dme,106210600
5.0,9.0,8.7,-1.0,-1.0,-1.0,-1.0,-1.0,7.6,-1.0,relacoes humanas,dme,106210600
8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.6,8.0,sociologia industrial i,dme,106210600
-1.0,5.8,0.0,6.5,8.0,-1.0,-1.0,-1.0,5.7,8.0,tecc(economia de tecnologia da informaca,dme,106210600
8.1,8.7,6.0,8.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,aval.de desempenho de sistemas discretos,dme,106210601
9.1,7.8,8.2,-1.0,-1.0,-1.0,-1.0,-1.0,8.4,-1.0,inteligencia artificial i,dme,106210601
9.0,9.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,projeto em computacao ii,dme,106210601
